der,Abend,die,Abende,evening
die,Abteilung,die,Abteilungen,department
die,Adresse,die,Adressen,address
das,Alter,,-,age
der,Anfang,die,Anfänge,start
das,Angebot,die,Angebote,offer
der/die,Angestellte,die,Angestellten,employee
die,Anmeldung,die,Anmeldungen,registration
die,Antwort,die,Antworten,reply
die,Anzeige,die,Anzeigen,announcement
der,Apfelsaft,die,Apfelsäfte,apple juice
der,Appetit,die,Appetite,appetite
der,Arzt,die,Ärzte,doctor
die,Ärztin,die,Ärztinnen,doctor (female)
die,Auskunft,die,Auskünfte,information
der,Ausweis,die,Ausweise,badge
das,Auto,die,Autos,car
die,Banane,die,Bananen,banana
das,Beispiel,die,Beispiele,example
der,Beruf,die,Berufe,profession
der,Besuch,die,Besuche,visit
das,Bett,die,Betten,bed
das,Bier,die,Biere,bier
das,Bild,die,Bilder,image
das,Bonbon,die,Bonbons,candy
das,Brot,die,Brote,bread
der,Bruder,die,Brüder,brother
das,Buch,die,Bücher,book
der,Buchstabe,die,Buchstaben,letter
das,Büro,die,Büros,office
die,Butter,,-,butter
die,Chance,die,Chancen,chance; opportunity
der,Computer,die,Computer,computer
die,Couch,die,Couches,couch
der,Dank,,-,thanks
die,Dose,die,Dosen,dose
die,Durchsage,die,Durchsagen,announcement
der,Durst,,-,thirst
das,Ei,die,Eier,egg
der,Einwohner,die,Einwohner,population
die,Entschuldigung,die,Entschuldigungen,apology
der,Fahrer,die,Fahrer,driver
das,Fahrrad,die,Fahrräder,bicycle
die,Familie,die,Familien,family
der,Familienname,die,Familiennamen,last name
der,Familienstand,,-,civil status
die,Farbe,die,Farben,colour
der,Fehler,die,Fehler,mistake
der,Fernseher,die,Fernseher,TV set
die,Firma,die,Firmen,company
der,Fisch,die,Fische,fish
die,Flasche,die,Flaschen,bottle
das,Fleisch,,-,meat
der,Flug,die,Flüge,flight
der,Flughafen,die,Flughäfen,airport
das,Formular,die,Formulare,form
das,Foto,die,Fotos,photo
der,Fotoapparat,die,Fotoapparate,camera
die,Frage,die,Fragen,question
die,Frau,die,Frauen,woman
der,Freund,die,Freunde,friend
der,Friseur,die,Friseure,barber
der,Führerschein,die,Führerscheine,driving licence
der,Gang,die,Gange,corridor
das,Geburtsjahr,die,Geburtsjahre,year of birth
der,Geburtsort,die,Geburtsorte,city of birth
der,Geburtstag,die,Geburtstage,birthday
das,Gemüse,,-,vegetable
das,Geschenk,die,Geschenke,gift
die,Geschichte,die,Geschichten,story
das,Geschoss,die,Geschosse,floor
das,Gespräch,die,Gespräche,conversation
das,Gewürz,die,Gewürze,spice; condiment
die,Gitarre,die,Gitarren,guitar
das,Glas,die,Gläser,glass
das,Gramm,die,Gramm,gram
die,Größe,die,Größen,size
die,Hälfte,die,Hälften,half
die,Hauptstadt,die,Hauptstädte,capital
das,Haus,die,Häuser,house
der,Haushalt,die,Haushalte,budget
der,Herr,die,Herren,Mister
der,Hunger,,-,hunger
die,Information,die,Informationen,information
der,Ingenieur,die,Ingenieure,engineer
